Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,70.44,16.22,36.9,35.1,34.8,34.8,34.8,35.0,35.0,34.4,0,0.0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
15.02,70.87,23.62,36.9,87.3,40.5,39.5,39.5,36.0,36.0,83.7,0,0.0,0.0,0.96,0.0,0.962962963,83.7,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
30.02,73.13,23.26,36.9,81.5,43.5,43.1,43.1,38.5,38.5,53.7,0,0.0,0.0,0.92,0.0,0.944444444,53.7,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
45.02,72.27,22.73,37.0,70.3,44.2,44.1,44.1,40.5,40.5,51.1,0,0.0,0.0,0.92,0.0,0.944444444,51.1,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
60.02,72.31,22.22,37.1,62.6,44.3,44.2,44.2,41.7,41.7,49.4,0,0.0,0.0,0.88,0.0,0.907407407,49.4,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
75.02,72.27,21.74,37.1,57.1,44.3,44.2,44.2,42.4,42.4,47.9,0,0.0,0.0,0.88,0.0,0.888888889,47.9,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
90.02,72.19,21.43,37.2,53.1,44.0,44.0,44.0,42.6,42.6,46.7,0,0.0,0.0,0.88,0.0,0.87037037,46.7,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
105.02,72.09,21.13,37.3,50.3,43.6,43.6,43.6,42.6,42.6,45.6,0,0.0,0.0,0.84,0.0,0.87037037,45.6,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
120.02,71.96,20.98,37.3,48.3,43.2,43.2,43.2,42.6,42.6,44.8,0,0.0,0.0,0.84,0.0,0.851851852,44.8,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
135.02,71.86,20.98,37.4,46.9,42.8,42.8,42.8,42.4,42.4,44.1,0,0.0,0.0,0.84,0.0,0.833333333,44.1,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
150.02,71.79,20.83,37.4,46.0,42.4,42.4,42.4,42.2,42.2,43.6,0,0.0,0.0,0.84,0.0,0.833333333,43.6,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
165.02,71.7,20.83,37.5,45.3,42.0,42.0,42.0,41.9,41.9,43.1,0,0.0,0.0,0.84,0.0,0.851851852,43.1,absent,absent,normal,wound,normal,normal,normal,normal,open,TRUE
