Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,64.62,17.24,36.9,34.5,34.2,34.2,34.2,34.5,34.5,34.4,0.0,0.0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
15.02,64.9,25.86,37.0,35.1,43.6,41.6,41.6,66.6,66.6,74.2,0.0,0.0,0.0,0.9767441860465116,0.0,0.9583333333333331,74.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
30.02,65.49,25.64,37.0,36.9,47.5,47.1,47.1,62.6,62.6,47.9,0.0,0.0,0.0,0.9534883720930232,0.0,0.9583333333333331,47.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
45.02,66.18,25.0,37.1,38.6,47.6,47.4,47.4,54.9,54.9,46.5,0.0,0.0,0.0,0.9302325581395348,0.0,0.9166666666666666,46.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
60.02,66.25,24.39,37.2,39.7,47.1,47.1,47.1,50.7,50.7,45.4,0.0,0.0,0.0,0.9069767441860463,0.0,0.9166666666666666,45.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
75.02,66.23,24.0,37.3,40.5,45.7,45.8,45.8,47.7,47.7,44.4,0.0,0.0,0.0,0.883720930232558,0.0,0.8749999999999999,44.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
90.02,66.17,23.62,37.3,40.9,44.2,44.4,44.4,45.5,45.5,43.4,0.0,0.0,0.0,0.883720930232558,0.0,0.8749999999999999,43.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
105.02,66.09,23.26,37.4,41.0,43.0,43.1,43.1,43.8,43.8,42.6,0.0,0.0,0.0,0.8372093023255818,0.0,0.8333333333333331,42.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
120.02,66.0,23.08,37.4,41.0,42.0,42.1,42.1,42.5,42.5,41.9,0.0,0.0,0.0,0.8372093023255818,0.0,0.8333333333333331,41.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
135.02,65.91,23.08,37.5,41.0,41.1,41.2,41.2,41.6,41.6,41.3,0.0,0.0,0.0,0.8372093023255818,0.0,0.8333333333333331,41.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
