Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular,GoldenWindow
0.02,54.0,17.96,36.8,34.3,33.8,33.9,33.9,34.2,34.2,34.4,0.0,0.0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
15.02,54.43,26.79,36.9,35.7,56.2,51.8,51.8,109.2,109.2,94.3,0.0,0.0,0.0,0.95,0.0,0.9772727272727276,94.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
30.02,54.73,26.55,37.1,39.5,64.7,63.8,63.8,98.3,98.3,64.6,0.0,0.0,0.0,0.95,0.0,0.9772727272727276,64.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
45.02,55.33,26.09,37.2,43.2,65.0,64.7,64.7,82.3,82.3,62.3,0.0,0.0,0.0,0.95,0.0,0.9318181818181822,62.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
60.02,55.41,25.42,37.4,45.8,64.1,64.2,64.2,72.9,72.9,60.0,0.0,0.0,0.0,0.9000000000000005,0.0,0.909090909090909,60.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
75.02,55.39,25.0,37.5,47.6,61.3,61.6,61.6,66.1,66.1,57.6,0.0,0.0,0.0,0.9000000000000005,0.0,0.8863636363636368,57.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
90.02,55.35,24.59,37.7,48.6,58.0,58.4,58.4,60.8,60.8,55.4,0.0,0.0,0.0,0.8500000000000004,0.0,0.8636363636363645,55.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
105.02,55.3,24.39,37.8,49.0,55.0,55.3,55.3,56.5,56.5,53.3,0.0,0.0,0.0,0.8500000000000004,0.0,0.8409090909090913,53.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
120.02,55.26,24.19,37.9,49.1,52.4,52.7,52.7,53.3,53.3,51.6,0.0,0.0,0.0,0.8500000000000004,0.0,0.8409090909090913,51.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
135.02,55.23,24.0,38.0,49.0,50.3,50.5,50.5,50.9,50.9,50.1,0.0,0.0,0.0,0.8249999999999998,0.0,0.818181818181818,50.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
150.02,55.23,23.81,38.1,48.8,48.7,48.8,48.8,49.5,49.5,49.0,0.0,0.0,0.0,0.8000000000000004,0.0,0.818181818181818,49.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
165.02,55.23,23.62,38.2,48.4,47.6,47.7,47.7,48.6,48.6,48.3,0.0,0.0,0.0,0.8000000000000004,0.0,0.818181818181818,48.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
180.02,55.25,23.62,38.3,47.9,46.8,46.8,46.8,47.9,47.9,47.6,0.0,0.0,0.0,0.8000000000000004,0.0,0.7954545454545457,47.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
195.02,55.28,23.44,38.4,47.4,46.2,46.2,46.2,47.4,47.4,47.1,0.0,0.0,0.0,0.8000000000000004,0.0,0.7954545454545457,47.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
210.02,55.31,23.44,38.5,46.9,45.7,45.7,45.7,46.9,46.9,46.6,0.0,0.0,0.0,0.8000000000000004,0.0,0.7954545454545457,46.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
225.02,55.33,23.26,38.6,46.4,45.2,45.2,45.2,46.5,46.5,46.1,0.0,0.0,0.0,0.8000000000000004,0.0,0.7954545454545457,46.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
240.02,55.33,23.26,38.7,45.9,44.8,44.8,44.8,46.0,46.0,45.7,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,45.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
255.02,55.33,23.08,38.8,45.4,44.4,44.4,44.4,45.7,45.7,45.3,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,45.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
270.02,55.31,23.08,38.9,45.0,44.1,44.1,44.1,45.3,45.3,44.9,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,44.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
285.02,55.27,23.08,38.9,44.6,43.7,43.7,43.7,45.0,45.0,44.5,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,44.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
300.02,55.23,23.08,39.0,44.2,43.4,43.4,43.4,44.7,44.7,44.2,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,44.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
315.02,55.21,23.08,39.1,43.8,43.1,43.1,43.1,44.4,44.4,43.8,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,43.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
330.02,55.18,23.08,39.2,43.4,42.8,42.8,42.8,44.1,44.1,43.5,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,43.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
345.02,55.15,23.26,39.3,43.1,42.6,42.6,42.6,43.8,43.8,43.2,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,43.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
360.02,55.15,23.26,39.3,42.7,42.3,42.3,42.3,43.6,43.6,43.0,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,43.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
375.02,55.15,23.26,39.4,42.4,42.1,42.1,42.1,43.4,43.4,42.7,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,42.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
390.02,55.16,23.26,39.5,42.1,41.9,41.9,41.9,43.2,43.2,42.5,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,42.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
405.02,55.19,23.26,39.5,41.9,41.7,41.7,41.7,43.0,43.0,42.3,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,42.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
420.02,55.22,23.26,39.6,41.6,41.5,41.5,41.5,42.8,42.8,42.1,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,42.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
435.02,55.25,23.26,39.6,41.4,41.3,41.3,41.3,42.7,42.7,41.9,0.0,0.0,0.0,0.7749999999999998,0.0,0.7727272727272735,41.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
450.02,55.27,23.26,39.7,41.1,41.2,41.2,41.2,42.5,42.5,41.7,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,41.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
465.02,55.29,23.08,39.8,40.9,41.1,41.0,41.0,42.4,42.4,41.5,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,41.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
480.02,55.29,23.08,39.8,40.7,40.9,40.9,40.9,42.3,42.3,41.4,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,41.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
495.02,55.28,23.08,39.9,40.6,40.8,40.8,40.8,42.2,42.2,41.2,0.0,0.0,0.0,0.7500000000000003,0.0,0.7727272727272735,41.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open,TRUE
