Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,71.48,14.63,36.9,35,34.6,34.6,34.6,34.9,34.9,34.4,0,0,0,0.49,0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open
15.02,73.12,14.63,36.9,35,34.6,34.7,34.7,34.9,34.9,34.4,0,0,0,0.49,0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open
30.02,76.83,14.56,36.9,35,34.6,34.7,34.7,34.9,34.9,34.4,0,0,0.01,0.49,0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open
45.02,82.75,14.35,36.9,35,34.6,34.7,34.7,34.9,34.9,34.4,0,0,0.01,0.48,0,0.485981308,absent,present,normal,normal,normal,normal,absent,absent,open
60.02,83.24,14.15,36.9,35,34.6,34.7,34.7,34.9,34.9,34.4,0,0,0.01,0.47,0,0.476635514,absent,present,normal,normal,normal,normal,absent,absent,open
75.02,84.54,13.95,36.9,35,34.6,34.7,34.7,34.9,34.9,34.4,0,0,0.03,0.47,0,0.46728972,absent,present,normal,normal,normal,normal,absent,absent,open
90.02,85.54,13.82,36.8,35,34.6,34.6,34.6,34.9,34.9,34.4,0,0,0.08,0.47,0,0.46728972,absent,present,normal,normal,normal,normal,absent,absent,open
105.02,86.14,13.76,36.8,35,34.6,34.6,34.6,34.9,34.9,34.4,0,0,0.11,0.47,0,0.46728972,absent,present,normal,normal,normal,normal,absent,absent,open
120.02,86.92,13.76,36.8,35,34.6,34.6,34.6,34.9,34.9,34.4,0,0,0.14,0.48,0,0.476635514,absent,present,normal,normal,normal,normal,absent,absent,open
135.02,87.1,13.95,36.8,35,34.6,34.6,34.6,34.9,34.9,34.4,0,0,0.17,0.49,0,0.495327103,absent,present,normal,normal,normal,normal,absent,absent,open
150.02,87.48,14.29,36.8,35,34.6,34.6,34.6,34.8,34.8,34.4,0,0,0.2,0.5,0,0.504672897,absent,present,normal,normal,normal,normal,absent,absent,open
165.02,87.98,14.56,36.8,35,34.5,34.6,34.6,34.8,34.8,34.4,0,0,0.23,0.52,0,0.514018692,absent,present,normal,normal,normal,normal,absent,absent,open
180.02,88.71,14.85,36.8,35,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0.26,0.54,0,0.53271028,absent,present,normal,normal,normal,normal,absent,absent,open
195.02,89.76,15.15,36.8,35,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0.28,0.54,0,0.542056075,absent,present,normal,normal,normal,normal,absent,absent,open
210.02,90.04,15.46,36.8,34.9,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0.31,0.56,0,0.551401869,absent,present,normal,normal,normal,normal,absent,absent,open
225.02,90.39,15.71,36.8,34.9,34.5,34.5,34.5,34.7,34.7,34.4,0,0,0.34,0.57,0,0.570093458,absent,present,normal,normal,normal,normal,absent,absent,open
240.02,90.73,15.87,36.8,34.9,34.4,34.5,34.5,34.7,34.7,34.4,0,0,0.35,0.57,0,0.570093458,absent,present,normal,normal,normal,normal,absent,absent,open
255.02,90.91,16.04,36.8,34.9,34.4,34.4,34.4,34.7,34.7,34.4,0,0,0.37,0.58,0,0.588785047,absent,present,normal,normal,normal,normal,absent,absent,open
270.02,92.39,16.22,36.8,34.9,34.4,34.4,34.4,34.7,34.7,34.4,0,0,0.41,0.59,0,0.588785047,absent,present,normal,normal,normal,normal,absent,absent,open
285.02,92.47,16.48,36.8,34.9,34.4,34.4,34.4,34.7,34.7,34.4,0,0,0.44,0.61,0,0.607476636,absent,present,normal,normal,normal,normal,absent,absent,open
300.02,92.93,16.67,36.8,34.8,34.4,34.4,34.4,34.6,34.6,34.4,0,0,0.45,0.62,0,0.61682243,absent,present,normal,normal,normal,normal,absent,absent,open
315.02,93.2,16.85,36.8,34.8,34.4,34.4,34.4,34.6,34.6,34.4,0,0,0.48,0.63,0,0.626168224,absent,present,normal,normal,normal,normal,absent,absent,open
330.02,93.61,17.14,36.8,34.8,34.3,34.4,34.4,34.6,34.6,34.4,0,0,0.51,0.64,0,0.644859813,absent,present,normal,normal,normal,normal,absent,absent,open
345.02,94.57,17.44,36.8,34.8,34.3,34.3,34.3,34.6,34.6,34.4,10,0.002,0.54,0.66,0,0.663551402,absent,present,normal,normal,normal,normal,absent,absent,open
360.02,95.37,17.75,36.8,34.8,34.3,34.3,34.3,34.6,34.6,34.4,10,0.002,0.58,0.67,0,0.672897196,absent,present,normal,normal,normal,normal,absent,absent,open
375.02,96.14,18.29,36.8,34.7,34.3,34.3,34.3,34.6,34.6,34.4,10,0.002,0.6,0.69,0,0.691588785,absent,present,normal,normal,normal,normal,absent,absent,open
390.02,97.18,18.87,36.8,34.7,34.3,34.3,34.3,34.5,34.5,34.4,10,0.002,0.62,0.71,0,0.719626168,absent,present,normal,normal,normal,normal,absent,absent,open
405.02,99.53,19.48,36.8,34.7,34.2,34.3,34.3,34.5,34.5,34.4,10,0.002,0.64,0.74,0,0.738317757,absent,present,normal,normal,normal,normal,absent,absent,open
420.02,101.09,20.27,36.8,34.7,34.2,34.2,34.2,34.5,34.5,34.4,10,0.002,0.66,0.76,0,0.76635514,absent,present,normal,normal,normal,normal,absent,absent,open
435.02,103.48,20.83,36.8,34.7,34.2,34.2,34.2,34.5,34.5,34.4,10,0.002,0.7,0.78,0,0.785046729,absent,present,normal,normal,normal,normal,absent,absent,open
450.02,106.58,21.58,36.8,34.6,34.2,34.2,34.2,34.4,34.4,34.4,10,0.002,0.73,0.81,0,0.813084112,absent,present,normal,normal,normal,normal,absent,absent,open
465.02,108.37,22.22,36.8,34.6,34.2,34.2,34.2,34.4,34.4,34.4,10,0.002,0.76,0.83,0,0.831775701,absent,present,normal,normal,normal,normal,absent,absent,open
480.02,111.9,22.9,36.8,34.6,34.1,34.2,34.2,34.4,34.4,34.4,10,0.002,0.78,0.85,0,0.85046729,absent,present,normal,normal,normal,normal,absent,absent,open
