Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,54.0,17.54,36.8,34.3,33.8,33.8,33.8,34.1,34.1,34.4,0.0,0.0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
15.02,54.42,24.59,36.8,34.7,40.8,39.4,39.4,35.2,81.5,73.5,0.0,0.0,0.0,0.975609756097561,0.0,0.9565217391304348,73.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
30.02,54.8,24.39,36.9,35.9,43.6,43.3,43.3,37.8,74.0,44.0,0.0,0.0,0.0,0.951219512195122,0.0,0.9347826086956516,44.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
45.02,55.32,24.0,36.9,37.1,43.7,43.6,43.6,39.7,61.2,43.1,0.0,0.0,0.0,0.9268292682926828,0.0,0.9130434782608696,43.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
60.02,55.43,23.62,37.0,38.0,43.5,43.5,43.5,40.8,53.5,42.4,0.0,0.0,0.0,0.9024390243902438,0.0,0.8913043478260874,42.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
75.02,55.47,23.08,37.0,38.6,42.7,42.8,42.8,41.1,48.6,41.8,0.0,0.0,0.0,0.8780487804878053,0.0,0.8695652173913042,41.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
90.02,55.5,22.56,37.1,39.0,41.8,42.0,42.0,41.1,45.5,41.2,0.0,0.0,0.0,0.8536585365853657,0.0,0.8478260869565211,41.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
105.02,55.53,22.22,37.1,39.2,41.1,41.2,41.2,41.0,43.4,40.8,0.0,0.0,0.0,0.8292682926829272,0.0,0.8260869565217389,40.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
120.02,55.54,21.9,37.1,39.3,40.5,40.5,40.5,40.8,42.1,40.4,0.0,0.0,0.0,0.8048780487804876,0.0,0.8043478260869563,40.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
135.02,55.55,21.74,37.1,39.4,40.0,40.0,40.0,40.4,41.4,40.1,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,40.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
150.02,55.53,21.43,37.2,39.4,39.6,39.6,39.6,40.1,40.9,39.9,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,39.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
165.02,55.49,21.28,37.2,39.4,39.3,39.3,39.3,39.7,40.5,39.7,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,39.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
180.02,55.43,21.13,37.2,39.3,39.1,39.1,39.1,39.4,40.3,39.5,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,39.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
195.02,55.37,21.13,37.2,39.2,38.9,38.9,38.9,39.2,40.1,39.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,39.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
210.02,55.3,21.13,37.3,39.1,38.7,38.7,38.7,39.0,40.0,39.2,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,39.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
225.02,55.25,21.28,37.3,39.0,38.5,38.6,38.6,38.8,39.8,39.0,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,39.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
240.02,55.21,21.28,37.3,38.9,38.4,38.4,38.4,38.6,39.7,38.9,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,38.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
255.02,55.18,21.43,37.3,38.8,38.3,38.3,38.3,38.5,39.6,38.8,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
270.02,55.17,21.43,37.4,38.7,38.2,38.2,38.2,38.3,39.5,38.7,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
285.02,55.16,21.43,37.4,38.6,38.1,38.1,38.1,38.2,39.4,38.6,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
300.02,55.15,21.58,37.4,38.5,38.0,38.0,38.0,38.1,39.3,38.5,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
315.02,55.16,21.58,37.4,38.4,37.9,37.9,37.9,38.0,39.2,38.4,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
330.02,55.15,21.58,37.4,38.3,37.8,37.8,37.8,37.9,39.2,38.3,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
345.02,55.17,21.58,37.5,38.2,37.7,37.8,37.8,37.9,39.1,38.2,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
360.02,55.19,21.58,37.5,38.1,37.7,37.7,37.7,37.8,39.0,38.1,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
375.02,55.23,21.58,37.5,38.1,37.6,37.6,37.6,37.7,39.0,38.1,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
390.02,55.28,21.58,37.5,38.0,37.6,37.6,37.6,37.7,38.9,38.0,0.0,0.0,0.0,0.780487804878049,0.0,0.7826086956521737,38.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
405.02,55.31,21.43,37.5,37.9,37.5,37.5,37.5,37.6,38.9,37.9,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
420.02,55.33,21.43,37.5,37.8,37.5,37.5,37.5,37.5,38.8,37.9,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
435.02,55.34,21.28,37.6,37.8,37.4,37.4,37.4,37.5,38.8,37.8,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
450.02,55.32,21.28,37.6,37.7,37.4,37.4,37.4,37.5,38.8,37.8,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
465.02,55.3,21.28,37.6,37.7,37.3,37.3,37.3,37.4,38.7,37.7,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
480.02,55.26,21.28,37.6,37.6,37.3,37.3,37.3,37.4,38.7,37.7,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
495.02,55.21,21.28,37.6,37.6,37.3,37.3,37.3,37.3,38.7,37.7,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
510.02,55.18,21.28,37.6,37.5,37.2,37.2,37.2,37.3,38.6,37.6,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
525.02,55.14,21.28,37.7,37.5,37.2,37.2,37.2,37.3,38.6,37.6,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
540.02,55.11,21.28,37.7,37.4,37.2,37.2,37.2,37.2,38.6,37.6,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
555.02,55.09,21.43,37.7,37.4,37.2,37.2,37.2,37.2,38.6,37.5,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
570.02,55.09,21.43,37.7,37.3,37.1,37.1,37.1,37.2,38.6,37.5,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
585.02,55.11,21.43,37.7,37.3,37.1,37.1,37.1,37.2,38.5,37.5,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
600.02,55.15,21.43,37.7,37.3,37.1,37.1,37.1,37.2,38.5,37.5,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
615.02,55.17,21.43,37.7,37.3,37.1,37.1,37.1,37.1,38.5,37.4,0.0,0.0,0.0,0.780487804878049,0.0,0.760869565217391,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
630.02,55.19,21.43,37.8,37.2,37.1,37.1,37.1,37.1,38.5,37.4,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
645.02,55.21,21.28,37.8,37.2,37.1,37.1,37.1,37.1,38.5,37.4,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
660.02,55.21,21.28,37.8,37.2,37.0,37.0,37.0,37.1,38.5,37.4,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
675.02,55.19,21.28,37.8,37.2,37.0,37.0,37.0,37.1,38.5,37.4,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
690.02,55.18,21.28,37.8,37.1,37.0,37.0,37.0,37.1,38.4,37.4,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
705.02,55.16,21.13,37.8,37.1,37.0,37.0,37.0,37.1,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
720.02,55.1,21.28,37.8,37.1,37.0,37.0,37.0,37.1,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
735.02,55.05,21.28,37.8,37.1,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
750.02,55.03,21.28,37.8,37.1,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
765.02,54.99,21.28,37.9,37.1,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
780.02,54.97,21.43,37.9,37.1,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
795.02,54.99,21.43,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
810.02,55.01,21.43,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
825.02,55.03,21.43,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
840.02,55.06,21.28,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
855.02,55.07,21.28,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
870.02,55.07,21.28,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
885.02,55.06,21.28,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
900.02,55.05,21.13,37.9,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
915.02,55.02,21.13,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
930.02,55.0,21.13,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
945.02,54.98,21.13,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
960.02,54.94,21.13,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
975.02,54.9,21.13,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
990.02,54.87,21.13,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.7391304347826084,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
1005.02,54.82,21.28,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
1020.02,54.79,21.28,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
1035.02,54.78,21.28,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
1050.02,54.76,21.43,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
1065.02,54.77,21.43,38.0,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
1080.02,54.81,21.43,38.1,37.0,37.0,37.0,37.0,37.0,38.4,37.3,0.0,0.0,0.0,0.7560975609756105,0.0,0.760869565217391,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
