Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,69.57,15.71,36.9,34.8,34.5,34.5,34.5,34.8,34.8,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
15.02,69.96,15.71,36.9,34.8,34.6,34.6,34.6,34.8,34.8,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
30.02,70.11,15.71,36.9,34.9,34.6,34.6,34.6,34.8,34.8,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
45.02,70.05,15.71,36.9,34.9,34.6,34.6,34.6,34.9,34.9,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
60.02,70,15.79,36.9,34.9,34.6,34.7,34.7,34.9,34.9,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
75.02,69.95,15.79,36.9,35,34.7,34.7,34.7,34.9,34.9,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
90.02,69.94,15.71,36.9,35,34.7,34.7,34.7,34.9,34.9,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
105.02,69.88,15.71,36.9,35,34.7,34.7,34.7,35,35,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
120.02,69.85,15.71,36.9,35,34.7,34.8,34.8,35,35,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
135.02,69.81,15.71,36.9,35.1,34.8,34.8,34.8,35,35,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
150.02,69.79,15.79,36.9,35.1,34.8,34.8,34.8,35,35,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
165.02,69.78,15.79,36.9,35.1,34.8,34.8,34.8,35,35,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
180.02,69.79,15.79,36.9,35.1,34.8,34.8,34.8,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
195.02,69.77,15.79,36.9,35.1,34.8,34.8,34.8,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
210.02,69.59,15.79,36.9,35.2,34.8,34.9,34.9,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
225.02,69.52,15.79,36.9,35.2,34.8,34.9,34.9,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
240.02,69.51,15.79,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
255.02,69.51,15.79,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
270.02,69.51,15.79,36.9,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
285.02,69.5,15.79,36.8,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0,0.961538462,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
300.02,69.48,15.79,36.8,35.2,34.9,34.9,34.9,35.1,35.1,34.4,0,0,0,0.980769231,0,0.964912281,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
315.02,69.47,15.79,36.8,35.3,34.9,34.9,34.9,35.2,35.2,34.4,0,0,0,0.980769231,0,0.98245614,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
330.02,69.46,15.79,36.8,35.3,34.9,34.9,34.9,35.2,35.2,34.4,0,0,0,0.980769231,0,0.98245614,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
345.02,69.44,15.87,36.8,35.3,34.9,34.9,34.9,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
360.02,69.44,15.87,36.8,35.3,34.9,34.9,34.9,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
375.02,69.44,15.87,36.8,35.3,34.9,34.9,34.9,35.2,35.2,34.4,0,0,0,0.980769231,0,0.98245614,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
390.02,69.44,15.79,36.8,35.3,34.9,35,35,35.2,35.2,34.4,0,0,0,0.980769231,0,0.98245614,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
405.02,69.42,15.79,36.8,35.3,34.9,35,35,35.2,35.2,34.4,0,0,0,0.980769231,0,0.98245614,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
420.02,69.41,15.79,36.8,35.3,34.9,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
435.02,69.41,15.79,36.8,35.3,34.9,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
450.02,69.4,15.87,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
465.02,69.4,15.87,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
480.02,69.41,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
495.02,69.4,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
510.02,69.4,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
525.02,69.39,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
540.02,69.39,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
555.02,69.39,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
570.02,69.39,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
585.02,69.39,15.87,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
600.02,69.4,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
615.02,69.38,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
630.02,69.36,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
645.02,69.35,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
660.02,69.34,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
675.02,69.33,15.79,36.8,35.3,35,35,35,35.2,35.2,34.4,0,0,0,1,0,1,absent,absent,normal,normal,normal,normal,abnormal,abnormal,closed
