Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,78.99,15.63,36.7,35.1,34.6,34.6,34.6,35.0,35.0,34.4,0.0,0.0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
15.02,79.57,21.28,36.7,35.3,39.1,38.2,38.2,67.2,35.6,70.0,0.0,0.0,0.0,1.0,0.0,0.9591836734693876,70.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
30.02,81.65,21.13,36.8,36.1,41.0,40.8,40.8,62.3,37.3,41.7,0.0,0.0,0.0,0.9545454545454544,0.0,0.9591836734693876,41.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
45.02,81.28,20.69,36.8,36.9,41.0,40.9,40.9,52.7,38.5,40.8,0.0,0.0,0.0,0.9545454545454544,0.0,0.9183673469387754,40.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
60.02,80.6,20.27,36.9,37.4,40.7,40.8,40.8,47.1,39.0,40.1,0.0,0.0,0.0,0.9318181818181818,0.0,0.9183673469387754,40.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
75.02,80.36,20.0,36.9,37.7,40.0,40.1,40.1,43.7,39.1,39.6,0.0,0.0,0.0,0.909090909090909,0.0,0.8775510204081631,39.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
90.02,80.47,19.61,36.9,37.9,39.4,39.4,39.4,41.6,39.1,39.2,0.0,0.0,0.0,0.909090909090909,0.0,0.8775510204081631,39.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
105.02,80.46,19.35,37.0,38.0,38.8,38.9,38.9,40.3,38.9,38.8,0.0,0.0,0.0,0.8636363636363635,0.0,0.8775510204081631,38.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
120.02,80.41,19.23,37.0,38.0,38.4,38.4,38.4,39.6,38.7,38.5,0.0,0.0,0.0,0.8636363636363635,0.0,0.8571428571428565,38.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
135.02,80.33,19.11,37.0,38.0,38.1,38.1,38.1,39.2,38.4,38.3,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,38.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
150.02,80.23,18.99,37.0,38.0,37.8,37.9,37.9,38.9,38.2,38.2,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,38.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
165.02,80.15,18.99,37.0,38.0,37.6,37.7,37.7,38.7,38.0,38.0,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,38.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
180.02,80.11,18.99,37.1,37.9,37.5,37.5,37.5,38.6,37.8,37.9,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,37.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
195.02,80.12,18.99,37.1,37.8,37.4,37.4,37.4,38.5,37.6,37.8,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,37.8,absent,absent,normal,normal,normal,wound,normal,abnormal,open
210.02,80.14,18.99,37.1,37.8,37.3,37.3,37.3,38.4,37.5,37.7,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,37.7,absent,absent,normal,normal,normal,wound,normal,abnormal,open
225.02,80.22,18.99,37.1,37.7,37.2,37.2,37.2,38.3,37.4,37.6,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,37.6,absent,absent,normal,normal,normal,wound,normal,abnormal,open
240.02,80.32,18.99,37.1,37.6,37.1,37.1,37.1,38.2,37.3,37.5,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
255.02,80.4,18.87,37.1,37.5,37.1,37.1,37.1,38.2,37.2,37.5,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,37.5,absent,absent,normal,normal,normal,wound,normal,abnormal,open
270.02,80.41,18.75,37.2,37.5,37.0,37.0,37.0,38.1,37.2,37.4,0.0,0.0,0.0,0.8636363636363635,0.0,0.8367346938775508,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
285.02,80.43,18.75,37.2,37.4,37.0,37.0,37.0,38.1,37.1,37.4,0.0,0.0,0.0,0.8409090909090907,0.0,0.8367346938775508,37.4,absent,absent,normal,normal,normal,wound,normal,abnormal,open
300.02,80.43,18.63,37.2,37.4,36.9,36.9,36.9,38.1,37.1,37.3,0.0,0.0,0.0,0.8409090909090907,0.0,0.8163265306122451,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
315.02,80.38,18.63,37.2,37.3,36.9,36.9,36.9,38.0,37.0,37.3,0.0,0.0,0.0,0.8409090909090907,0.0,0.8163265306122451,37.3,absent,absent,normal,normal,normal,wound,normal,abnormal,open
330.02,80.35,18.63,37.2,37.3,36.8,36.9,36.9,38.0,37.0,37.2,0.0,0.0,0.0,0.8181818181818185,0.0,0.8163265306122451,37.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
345.02,80.36,18.63,37.2,37.2,36.8,36.8,36.8,38.0,36.9,37.2,0.0,0.0,0.0,0.8181818181818185,0.0,0.8163265306122451,37.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
360.02,80.39,18.63,37.2,37.2,36.8,36.8,36.8,37.9,36.9,37.2,0.0,0.0,0.0,0.8181818181818185,0.0,0.8163265306122451,37.2,absent,absent,normal,normal,normal,wound,normal,abnormal,open
375.02,80.43,18.63,37.3,37.1,36.8,36.8,36.8,37.9,36.9,37.1,0.0,0.0,0.0,0.8181818181818185,0.0,0.8163265306122451,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
390.02,80.46,18.63,37.3,37.1,36.7,36.8,36.8,37.9,36.9,37.1,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
405.02,80.45,18.52,37.3,37.1,36.7,36.7,36.7,37.9,36.8,37.1,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
420.02,80.43,18.52,37.3,37.0,36.7,36.7,36.7,37.9,36.8,37.1,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
435.02,80.41,18.52,37.3,37.0,36.7,36.7,36.7,37.9,36.8,37.1,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.1,absent,absent,normal,normal,normal,wound,normal,abnormal,open
450.02,80.38,18.4,37.3,37.0,36.7,36.7,36.7,37.9,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
465.02,80.35,18.4,37.3,37.0,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
480.02,80.29,18.4,37.3,36.9,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
495.02,80.23,18.4,37.3,36.9,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
510.02,80.18,18.52,37.4,36.9,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
525.02,80.13,18.52,37.4,36.9,36.6,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
540.02,80.11,18.63,37.4,36.9,36.6,36.6,36.6,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
555.02,80.13,18.63,37.4,36.9,36.6,36.6,36.6,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
570.02,80.17,18.63,37.4,36.9,36.6,36.6,36.6,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
585.02,80.24,18.63,37.4,36.9,36.6,36.6,36.6,37.8,36.7,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
600.02,80.28,18.52,37.4,36.8,36.6,36.6,36.6,37.8,36.7,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
615.02,80.28,18.52,37.4,36.8,36.6,36.6,36.6,37.8,36.7,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
630.02,80.31,18.4,37.4,36.8,36.6,36.6,36.6,37.8,36.7,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
645.02,80.27,18.4,37.4,36.8,36.6,36.6,36.6,37.8,36.7,36.9,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
660.02,80.26,18.4,37.5,36.8,36.6,36.6,36.6,37.8,36.7,36.9,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
675.02,80.21,18.29,37.5,36.8,36.6,36.6,36.6,37.8,36.7,36.9,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
690.02,80.17,18.29,37.5,36.8,36.6,36.6,36.6,37.8,36.7,36.9,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
705.02,80.15,18.29,37.5,36.8,36.6,36.6,36.6,37.8,36.8,36.9,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
720.02,80.1,18.4,37.5,36.8,36.6,36.7,36.7,37.8,36.8,36.9,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
735.02,80.1,18.4,37.5,36.8,36.6,36.7,36.7,37.8,36.8,36.9,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,36.9,absent,absent,normal,normal,normal,wound,normal,abnormal,open
750.02,80.07,18.4,37.5,36.8,36.6,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
765.02,80.05,18.4,37.5,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
780.02,80.04,18.4,37.5,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
795.02,80.0,18.4,37.5,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
810.02,79.99,18.4,37.5,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
825.02,79.95,18.4,37.5,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
840.02,79.89,18.52,37.6,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
855.02,79.86,18.52,37.6,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
870.02,79.8,18.52,37.6,36.8,36.7,36.7,36.7,37.8,36.8,37.0,0.0,0.0,0.0,0.8181818181818185,0.0,0.7959183673469385,37.0,absent,absent,normal,normal,normal,wound,normal,abnormal,open
