Time,HeartRate,RespirationRate,CoreTemperature,SkinTemperatureTorso,SkinTemperatureHead,SkinTemperatureLeftArm,SkinTemperatureRightArm,SkinTemperatureLeftLeg,SkinTemperatureRightLeg,BurnSkinTemperature,BloodVolumeLost,BloodPoolSize,LeftLungDisplacementMin,LeftLungDisplacementMax,RightLungDisplacementMin,RightLungDisplacementMax,BurnTemperature(degC),severe_hemorrhage,respiratory_distress,trauma_head,trauma_torso,trauma_upper_ext,trauma_lower_ext,alertness_verbal,alertness_motor,alertness_ocular
0.02,70.43,17.65,36.7,34.7,34.1,34.2,34.2,34.5,34.5,34.4,0.0,0.0,0.0,1.0,0.0,1.0,34.4,absent,absent,normal,normal,wound,normal,normal,normal,open
15.02,70.85,19.48,36.7,34.9,37.4,36.7,41.9,35.0,35.0,65.0,0.0,0.0,0.0,1.0,0.0,1.0,65.0,absent,absent,normal,normal,wound,normal,normal,normal,open
30.02,70.99,19.48,36.7,35.2,37.3,37.0,39.5,35.6,35.6,36.0,0.0,0.0,0.0,1.0,0.0,1.0,36.0,absent,absent,normal,normal,wound,normal,normal,normal,open
45.02,71.08,19.35,36.7,35.3,36.1,36.3,36.5,35.7,35.7,35.6,0.0,0.0,0.0,0.9736842105263156,0.0,1.0,35.6,absent,absent,normal,normal,wound,normal,normal,normal,open
60.02,71.1,19.35,36.7,35.4,35.7,35.8,36.0,35.8,35.8,35.6,0.0,0.0,0.0,0.947368421052632,0.0,0.9761904761904768,35.6,absent,absent,normal,normal,wound,normal,normal,normal,open
75.02,71.11,19.23,36.7,35.5,35.6,35.6,35.9,35.8,35.8,35.7,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.7,absent,absent,normal,normal,wound,normal,normal,normal,open
90.02,71.09,19.11,36.7,35.6,35.6,35.6,36.0,35.8,35.8,35.7,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.7,absent,absent,normal,normal,wound,normal,normal,normal,open
105.02,71.05,19.11,36.7,35.6,35.7,35.7,36.0,35.8,35.8,35.7,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.7,absent,absent,normal,normal,wound,normal,normal,normal,open
120.02,71.03,18.99,36.7,35.7,35.7,35.7,36.0,35.8,35.8,35.8,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.8,absent,absent,normal,normal,wound,normal,normal,normal,open
135.02,71.0,18.99,36.7,35.7,35.7,35.7,36.0,35.8,35.8,35.8,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.8,absent,absent,normal,normal,wound,normal,normal,normal,open
150.02,70.96,18.99,36.7,35.8,35.7,35.7,36.0,35.9,35.9,35.8,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.8,absent,absent,normal,normal,wound,normal,normal,normal,open
165.02,70.92,18.99,36.7,35.8,35.7,35.7,36.1,35.9,35.9,35.8,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.8,absent,absent,normal,normal,wound,normal,normal,normal,open
180.02,70.91,19.11,36.7,35.9,35.8,35.8,36.1,35.9,35.9,35.9,0.0,0.0,0.0,0.947368421052632,0.0,0.9523809523809524,35.9,absent,absent,normal,normal,wound,normal,normal,normal,open
